Domains,Industry,Employees,Event Count,Event-split,Class,Discover Overall-Score,Discover - Events
crypto.com,"Media & Internet, Newspapers & News Services",3740,5,2,1,Excellent,"Date: 31/10/2023
Type: has_issues_with
Event: Crypto.com has issues with deficit of trust.
URL: https://absoluteexpressionsphoto.com/news/50f299722.html

Date: 31/10/2023
Type: Receives Financing
Event: Crypto.com received financing of $26M in funding on Oct 1st '23.
URL: https://mmo4me.com/threads/crypto-arbitrage-owl-company-open-ai-quantitative-trading-robot-profit-2-85-daily-24-hour-strategy.468501/

Date: 26/10/2023
Type: Launches
Event: Crypto.com launches Aston Martin F1.
URL: https://getbestcrypto.com/crypto-com-offers-aston-martin-f1-merch-pack-ahead-of-mexico-gp/

Date: 14/10/2023
Type: Partners With
Event: Lakers Nation partners with Crypto.com.
URL: https://news.aqrefx.com/2023/10/14/lebron-james-former-teammate-shuns-2-53-trillion-asset-as-he-puts-his-44-million-to-use/

Date: 10/10/2023
Type: Launches
Event: Crypto.com launched luxury Tunnel and Terrace Suites on Oct 11th '23.
URL: https://finance.yahoo.com/news/crypto-com-arena-completes-phase-152300211.html"
pumaenergy.com,Engineering,7506,5,2,1,Excellent,"Date: 02/10/2023
Type: launches
Event: Puma Energy launches transformative road safety campaign to improve the safety of children.
URL: https://www.thecitizen.co.tz/tanzania/news/national/campaign-launched-to-ensure-road-safety-to-school-going-children-4388282

Date: 31/08/2023
Type: Expands Facilities
Event: Puma Energy expands facilities to Estonia.
URL: https://pumaenergy.com/improving-global-access-to-avgas-from-estonia/

Date: 26/07/2023
Type: Launches
Event: Puma Energy launched 'Be Road Safe' campaign on Jul 26th '23.
URL: https://pumaenergy.com/puma-energy-addressing-road-traffic-injuries-in-botswana/

Date: 29/05/2023
Type: Partners With
Event: Ok Stores partners with Puma Energy.
URL: https://trendtype.com/news/pick-n-pay-and-namcor-open-a-new-pick-n-pay-express-in-namibia/

Date: 16/02/2023
Type: Leaves
Event: James Marape left Puma Energy as Prime Minister on Feb 19th '23.
URL: https://postcourier.com.pg/puma-energy-needs-us100m-in-fx-order-to-ensure-fuel-supply-continues/"
traxretail.com,Information Technology,811,5,2,1,Excellent,"Date: 17/10/2023
Type: launches
Event: Trax launches M size.
URL: https://www.cyrusher.co.uk/blogs/news/comparing-cyrusher-trax-m-size-vs-l-size

Date: 28/09/2023
Type: Launches
Event: Trax launches Trax Connector on Salesforce AppExchange empowering companies using Salesforce Consumer Goods Cloud.
URL: https://www.benzinga.com/pressreleases/23/09/n35001464/trax-announces-trax-connector-on-salesforce-appexchange-the-worlds-leading-enterprise-cloud-market

Date: 07/08/2023
Type: Identified As Competitor Of
Event: Trax identified as competitor of Honda Motor Co..
URL: https://www.carsdirect.com/2025/chevrolet/trax

Date: 03/07/2023
Type: Identified As Competitor Of
Event: Trax identified as competitor of Universal Hyundai.
URL: https://philkotse.com/new-releases/2024-chevrolet-trax-philippines-debut-14863

Date: 22/06/2023
Type: Invests Into
Event: TriumphPay invested into Trax $9.7M on Jun 22nd '23.
URL: https://seekingalpha.com/news/3982227-triumphpay-takes-a-minor-position-in-trax?source=content_type%3Areact%7Cfirst_level_url%3Amarket-news%7Csection_asset%3Amain"
yinson.com,Transportation,678,5,2,1,Excellent,"Type: *** Discover Insider ***
Event: Senior Information Technology Manager of Yinson, is interested in Microsoft 365 Backup For Dummies in Norway.


Date: 12/10/2023
Type: Partners With
Event: Yinson partners with Ahanta West Municipal Assembly.
URL: https://www.myjoyonline.com/yinson-organises-phonics-training-for-170-teachers-in-the-ahanta-west-municipality/

Date: 29/09/2023
Type: Hires
Event: Yinson hired Gregory Lee as Member of Risk Committee on Sep 29th '23.
URL: https://www.marketscreener.com/quote/stock/YINSON-HOLDINGS-10546831/news/Yinson-Holdings-Berhad-Announces-the-Appointment-of-Gregory-Lee-as-Member-of-Risk-Committee-44955226/

Date: 19/09/2023
Type: Launches
Event: Yinson launched rydeEv, an e-bike on Aug 20th '23.
URL: https://www.thestar.com.my/business/business-news/2023/09/20/yinson-continues-ev-journey-with-celcomdigi

Date: 19/09/2023
Type: Is Developing
Event: Yinson is developing EV services and infrastructure in Malaysia.
URL: https://nextrift.com/celcomdigi-yinson-signs-mou-to-develop-ev-services-infrastructure-in-malaysia/

Date: 18/09/2023
Type: Partners With
Event: Yinson partnered with Celcom Digi on Sep 19th '23.
URL: https://www.thestar.com.my/business/business-news/2023/09/20/yinson-continues-ev-journey-with-celcomdigi"
malaysiaairlines.com,"Transportation, Airlines, Airports & Air Services",12000,5,5,1,Good,"Date: 31/10/2023
Type: launches
Event: Malaysia Airlines Group launched in-flight WiFi service for Business Suite and Business Class passengers on Sep 30th '23.
URL: https://www.malaymail.com/news/malaysia/2023/10/31/malaysia-airlines-offers-free-unlimited-wifi-to-all-passengers-including-economy-class-starting-1st-november-2023/99434

Date: 31/10/2023
Type: Launches
Event: Malaysia Airlines Group launched Wi-Fi service on Oct 31st '23.
URL: https://hospitalitylexis.media/malaysia-airlines-offers-free-wi-fi-across-all-classes-beginning-1-november-2023/

Date: 11/10/2023
Type: Launches
Event: Malaysia Airlines Group launches Decentralised Clinical Trial guidance document.
URL: https://regask.com/malaysia-decentralised-clinical-trial-dct-guidance-document/

Date: 10/10/2023
Type: Launches
Event: Malaysia Airlines Group will launch three new routes in India on Nov 3rd '23.
URL: https://simpleflying.com/airasia-x-resumes-kuala-lumpur-amritsar-service/

Date: 24/09/2023
Type: Launches
Event: Malaysia Airlines Group will launch direct flight to Kertajati on Dec 1st '23.
URL: https://theedgemalaysia.com/node/683831"
sentosa.com.sg,Entertainment,2281,4,2,1,Good,"Date: 24/10/2023
Type: partners_with
Event: BeMyGuest partners with Sentosa Development Corporation.
URL: https://www.webintravel.com/bemyguest-forges-partnership-sentosa-development-corporation-as-sentosas-channel-manager/

Date: 22/08/2023
Type: Partners With
Event: Discovery, Inc. partners with Sentosa Development Corporation.
URL: https://mb.com.ph/2023/8/23/warner-bros-brings-centennial-celebration-to-life-for-fans-and-families-across-southeast-asia

Date: 21/04/2023
Type: Partners With
Event: LIV Golf, Inc. partners with Sentosa Development Corporation.
URL: https://www.golfmagic.com/liv-golf/report-fresh-details-emerge-about-lucrative-liv-golf-player-contracts

Date: 24/02/2023
Type: Launches
Event: Sentosa Development Corporation launched SentosaLand on Jan 1st '23.
URL: https://www.webintravel.com/metaverse-builders-in-asia-sentosa-creates-a-symbiotic-relationship-with-its-virtual-world/"
frasersproperty.com,Other,25000,5,2,1,Excellent,"Date: 22/10/2023
Type: launches
Event: Frasers Property Group launches GRESB 2023 performance.
URL: https://www.architectureanddesign.com.au/news/frasers-property-s-strong-gresb-2023-performance

Date: 16/10/2023
Type: Recognized As
Event: Frasers Property Group recognized as Regional Sector Leader recognition in the Asia's Diversified - Office/Retail (non-listed) category.
URL: https://www.architectureanddesign.com.au/news/frasers-property-s-strong-gresb-2023-performance

Date: 29/09/2023
Type: Receives Award
Event: Frasers Property Group receives award Thames Valley Community Impact Award.
URL: https://www.maxisbracknell.com/frasers-property-uk-wins-major-community-impact-award/

Date: 26/09/2023
Type: Launches
Event: Frasers Property Group launched industry-first Inclusion Champions programme in Singapore on Jan 1st '23.
URL: https://www.lbbonline.com/news/vccp-singapore-and-frasers-property-showcases-how-real-estate-helps-to-nurture-communities

Date: 25/09/2023
Type: Is Developing
Event: Frasers Property Group is developing Binh Duong Industrial Park on Aug 26th '23.
URL: https://forwardervietnam.com/tin-tuc/doanh-nghiep-ngoai-mo-rong-dau-tu-vao-logistics"
gentingmalaysia.com,"Education, Colleges & Universities",5000,5,2,1,Good,"Date: 05/11/2023
Type: acquires
Event: Genting Malaysia acquired Stardust Casino for $350M on Jan 1st '13.
URL: https://news.cousinswv.com/news/90e699903.html

Date: 04/11/2023
Type: Files Suit Against
Event: Genting Malaysia files suit against Walt Disney Co.
URL: https://people.com/home/resort-developer-sues-disney-fox-1-billion-theme-park/

Date: 14/09/2023
Type: Invests Into Assets
Event: Genting Malaysia invests into assets: 16.5 acres in the amount of $1.23B in Florida, United States.
URL: https://www.nuniaotea.com/news/648f898503.html

Date: 26/07/2023
Type: Hires
Event: Genting Malaysia hired Lim on Jan 1st '21.
URL: https://www.marketing-interactive.com/genting-my-promotes-kristine-lim-to-vice-president-of-marketing

Date: 15/03/2023
Type: Hires
Event: Genting Malaysia hires Chong Kwai Ying as independent and non-executive director.
URL: https://europeangaming.eu/portal/latest-news/2023/03/15/131864/genting-malaysia-warns-of-illegal-online-gambling-sites-using-its-brand/"
igg.com,Information Technology,3101,2,2,1,Good,"Date: 08/06/2023
Type: launches
Event: IGG launches standalone PC version of Lords Mobile.
URL: https://www.droidgamers.com/news/play-lords-mobile-in-high-def-on-a-big-screen-and-claim-a-bunch-of-free-rewards/

Date: 13/01/2023
Type: Launches
Event: IGG launches Rage of Destiny.
URL: https://www.shadowknightgaming.com/rage-of-destiny-codes/"
straive.com,Information Technology,17000,3,2,1,Excellent,"Date: 03/11/2023
Type: acquires
Event: Straive acquires Metonymize.
URL: https://news.outsourceaccelerator.com/straive-acquires-metonymize/

Date: 31/10/2023
Type: Acquires
Event: Straive acquired Gramener Inc on Nov 1st '23.
URL: https://www.prnewswire.com/news-releases/straive-acquires-gramener-to-enhance-data-analytics-and-ai-capabilities-301972519.html

Date: 02/05/2023
Type: Hires
Event: Straive hired Ankor Rai as Chief Executive Officer on May 3rd '23.
URL: https://www.prnewswire.com/news-releases/straive-appoints-ankor-rai-as-chief-executive-officer-301812629.html"
