Domains,Industry,Event Count,Discover - Overall Score
nl.abnamro.com,Finance,,Good
aegon.nl,Finance,0,Good
arcelormittal.com,Manufacturing,5,Excellent
bdl.lu,Finance,0,
skf.com,Manufacturing,5,Booster activated
abnamro.nl,Finance,0,Good
achmea.nl,,0,Excellent
achmea.nl,Legal Services,0,Excellent
akzonobel.com,Manufacturing,5,Excellent
rekenkamer.nl,Government,0,Good
bpost.be,Information Technology,0,Good
aperam.com,Manufacturing,2,Excellent
aperam.com,Energy,2,Excellent
adm.com,Food and Beverage,5,Booster activated
asml.com,Finance,5,Excellent
asr.nl,Legal Services,0,Good
asr.nl,Finance,0,Good
astrid.be,Computer and Technology,1,Good
atos.net,Computer and Technology,5,Excellent
axa.lu,Finance,0,Good
bam.com,Engineering,3,Good
mendesgans.nl,Finance,0,Good
bcl.lu,Finance,0,Good
bil.com,Finance,0,Good
barco.com,Manufacturing,5,Excellent
bdo.nl,Finance,0,Good
belfius.be,Finance,0,Good
belgiantrain.be,Information Technology,0,Good
bgl.lu,Finance,0,Good
bidfood.nl,Retail,0,Good
bmn.nl,Engineering,0,Good
uclouvain.be,Health Care,1,Good
cssf.lu,Finance,3,Good
frieslandcampina.com,Food and Beverage,0,Excellent
croonwolterendros.nl,Computer and Technology,0,Good
croon.nl,Computer and Technology,0,Good
dnb.nl,Finance,5,Excellent
persgroep.nl,Computer and Technology,0,Good
dji.minjus.nl,Government,0,Good
dijklander.nl,Health Care,0,Good
dow.com,Manufacturing,5,Excellent
dpgmedia.nl,Marketing,0,Good
dpgmedia.nl,Health Care,0,Good
duravermeer.nl,Engineering,0,Good
belastingdienst.nl,Government,0,Good
tue.nl,Education,0,Good
elia.be,Manufacturing,3,Excellent
etz.nl,Health Care,0,Good
etz.nl,Health Care,0,Good
encevo.eu,Energy,2,Good
erasmusmc.nl,Health Care,0,Good
eurofins.com,Health Care,5,Booster activated
ec.europa.eu,Government,0,Good
eib.org,Finance,5,Excellent
fedex.com,Information Technology,5,Excellent
flowserve.com,Manufacturing,3,Excellent
grandvisionbenelux.com,Retail,0,Good
portofrotterdam.com,Information Technology,5,Excellent
ineos.com,Manufacturing,5,Excellent
infrabel.be,Information Technology,0,Excellent
ing.com,Finance,5,Excellent
islux.lu,Education,0,Good
kbccomfin.be,Finance,0,Good
lamershts.com,Manufacturing,0,Good
list.lu,Education,4,Good
luxairgroup.lu,Aviation,0,Good
maersk.com,Non-profit Organizations,5,Excellent
medtronic.com,Health Care,5,Excellent
medtronic.com,Health Care,5,Excellent
menzis.nl,Legal Services,0,Good
mondelezinternational.com,Food and Beverage,5,Excellent
nn.nl,Finance,0,Good
nibc.com,Finance,0,Excellent
tennet.eu,Manufacturing,0,Excellent
nwz.nl,Health Care,0,Good
nutreco.com,Food and Beverage,0,Excellent
ou.nl,Education,1,Good
ores.be,Manufacturing,0,Good
philips.com,Health Care,5,Excellent
politie.nl,Legal Services,0,Good
pon.com,Information Technology,0,Excellent
pwc.com,Finance,5,Excellent
robeco.nl,Legal Services,0,Good
rtlgroup.com,Entertainment,0,Good
sheerenloo.nl,Health Care,0,Good
sheerenloo.nl,Health Care,0,Good
sbmoffshore.com,Energy,4,Excellent
shell.com,Energy,5,Excellent
sibelco.com,Energy,1,Excellent
smitlamnalco.com,Information Technology,0,Good
smurfitkappa.com,Manufacturing,5,Excellent
spaarnegasthuis.nl,Health Care,0,Good
edfluminus.be,Energy,0,Good
luminus.be,Manufacturing,0,Good
dijklander.nl,Health Care,0,Good
telenet.be,Computer and Technology,0,Good
tennet.eu,Energy,0,Excellent
tomtom.com,Computer and Technology,5,Excellent
transavia.com,Aviation,0,Good
ubs.com,Finance,5,Excellent
ucb.com,Health Care,5,Excellent
unicredit.lu,Finance,0,Good
unilever.com,Retail,5,Excellent
umcg.nl,Health Care,0,Good
uni.lu,Education,0,Good
issc.leidenuniv.nl,Education,0,Good
uu.nl,Education,0,Good
uzbrussel.be,Health Care,0,Good
vab.be,Aviation,0,Good
vionfood.com,Food and Beverage,0,Good
volkerwessels.com,Manufacturing,0,Excellent
ypto.be,Computer and Technology,0,Good
agroscope.admin.ch,Food and Beverage,0,Good
alpiq.com,Other,1,Good
avaloq.com,Information Technology,0,Good
bkw.ch,Other,0,Excellent
buhlergroup.com,Manufacturing,2,Excellent
clariant.com,Chemicals,5,Excellent
credit-suisse.com,Finance,5,Excellent
mobiliar.ch,Legal Services,0,Good
post.ch,Information Technology,2,Excellent
fust.ch,Retail,0,Good
ekz.ch,Other,0,Good
emsservices.ch,Chemicals,0,Good
epfl.ch,Education,1,Good
bag.admin.ch,Government,0,Good
franke.com,Retail,4,Good
gategroup.com,Aviation,0,Excellent
helvetia.ch,Legal Services,0,Good
hilti.com,Engineering,0,Good
juliusbaer.com,Finance,0,Excellent
sg.ch,Finance,0,Good
lafargeholcim.com,Engineering,0,Good
lidl.ch,Retail,0,Excellent
lonza.com,Health Care,5,Excellent
manor.ch,Retail,0,Excellent
mt.com,Energy,0,Excellent
migros.ch,Retail,0,Good
msccruises.com,Entertainment,5,Good
msccruises.com,Entertainment,5,Good
msc.com,Manufacturing,5,Excellent
nestle.com,Food and Beverage,5,Excellent
novartis.com,Health Care,5,Excellent
pmi.com,Retail,5,Excellent
postfinance.ch,Finance,2,Excellent
raiffeisen.ch,Finance,0,Good
rts.ch,Marketing,0,Good
schindler.com,Engineering,4,Excellent
schindler.com,Manufacturing,4,Excellent
sfs.biz,Manufacturing,0,Good
six-group.com,Finance,2,Excellent
straumann.com,Health Care,1,Excellent
swatchgroup.com,Luxury Goods & Jewelry,0,Excellent
swiss.com,Aviation,5,Booster activated
swissre.com,Legal Services,5,Excellent
swisscom.com,Information Technology,0,Good
swissgrid.ch,Other,0,Excellent
swissport.com,Aviation,2,Excellent
syngenta.com,Food and Beverage,5,Excellent
unil.ch,Other,0,Good
viforpharma.com,Health Care,0,Excellent
absa.co.za,Finance,4,Excellent
airports.co.za,Manufacturing,0,Good
airports.co.za,Other,0,Good
alexanderforbes.co.za,Finance,0,Good
capitecbank.co.za,Finance,1,Excellent
cartrack.co.za,Manufacturing,0,Good
directaxis.co.za,Finance,0,Good
discovery.co.za,Finance,4,Excellent
fnb.co.za,Finance,2,Good
firstrand.co.za,Finance,0,Good
hollard.co.za,Legal Services,4,Excellent
iotnxt.com,Information Technology,0,Good
liberty.co.za,Legal Services,1,Booster activated
lifehealthcare.co.za,Health Care,3,Excellent
mrpricegroup.com,Retail,1,Good
mtn.com,Information Technology,1,Excellent
mtn.com,Information Technology,1,Excellent
nedbank.co.za,Finance,5,Excellent
nedbank.co.za,Finance,5,Excellent
nedbank.com.na,Finance,0,Good
oldmutual.com,Finance,5,Excellent
ominsure.co.za,Legal Services,0,Good
out.co.za,Legal Services,0,Good
outsurance.co.za,Legal Services,1,Excellent
peermont.com,Entertainment,0,Excellent
rmb.co.za,Finance,0,Good
sars.gov.za,Government,0,Good
sasol.com,Chemicals,1,Good
resbank.co.za,Finance,1,Excellent
stanbic.com.gh,Finance,0,Good
standardbank.co.mz,Finance,0,Good
standardbank.co.za,Finance,5,Excellent
standardbank.co.za,Finance,5,Excellent
telkom.co.za,Information Technology,1,Excellent
tfg.co.za,Retail,0,Good
tigerbrands.com,Retail,0,Good
transnet.net,Information Technology,0,Excellent
vodacom.co.za,Information Technology,0,Good
vodacom.co.za,Information Technology,0,Good
wesbank.co.za,Finance,0,Good
ktu.edu,Education,0,Good
maxima.lv,Retail,0,Good
riga.lv,Government,0,Good
eleks.com,Other,0,Excellent
novol.com,Other,0,Good
pipedrive.com,Computer and Technology,0,Good
tipico.com,Other,0,Good
play.pl,Information Technology,0,Good
rossmann.pl,Retail,0,Good
relativity.com,Computer and Technology,2,Booster activated
transferwise.com,Finance,0,Good
kearney.com,Legal Services,0,Good
kpmg.com,Other,5,Excellent
mbank.pl,Finance,0,Good
zf.com,Aviation,3,Excellent
pg.com,Retail,0,Good
santander.pl,Finance,0,Good
oriflame.com,Other,0,Excellent
polpharma.com,Other,0,Good
pkcgroup.com,Aviation,0,Good
faberlic.com,Other,0,Good
jysk.com,Retail,0,Excellent
ubs.com,Finance,5,Excellent
gruppocln.com,Aviation,0,Good
microsoft.com,Computer and Technology,5,Good
hsbc.com,Finance,5,Excellent
adamed.com,Other,0,Good
tet.lv,Other,0,Good
rtu.lv,Education,0,Good
bahlsen.com,Other,0,Good
termika.com,Energy,0,Good
dot2dot.pl,Other,0,Good
gnb.pl,Finance,0,Good
plus.pl,Information Technology,0,Good
zabka.pl,Retail,0,Good
ensono.com,Other,0,Good
biogen.com,Other,5,Booster activated
deloitte.com,Legal Services,5,Excellent
benefitsystems.pl,Health Care,0,Good
axa.pl,Other,0,Good
4finance.com,Finance,0,Good
best.com.pl,Finance,0,Good
capgemini.com,Other,5,Excellent
ab.pl,Computer and Technology,0,Good
crif.com,Other,3,Good
netia.pl,Information Technology,0,Good
riga-airport.com,Aviation,0,Good
auchan-retail.com,Retail,4,Good
hemmersbach.com,Other,0,Good
bph.pl,Finance,0,Good
fortacogroup.com,Other,0,Good
ingtechpoland.com,Other,0,Good
bmz-group.com,Computer and Technology,0,Excellent
