Domains,Revenue,Employees,Industry,Class,Discover - Events,Discover - Overall Score,Event Count
agfa.com,2020932,6688,Manufacturing,1,"Type: *** Discover Insider ***
Event: Director Mgr IT of Agfa told us they were looking into 'Hardware lifecycle management.


Date: 22/10/2023
Type: Launches
Event: Agfa launched Tauro wide-format printer series on Oct 23rd '23.
URL: https://imagemagazine.com.au/Latest-News/ArtMID/573/ArticleID/4256/Agfa-wide-format-printer-and-inks-obtain-3M%e2%80%afPerformance-Guarantee

Date: 05/09/2023
Type: Receives Award
Event: Agfa receives award Pinnacle Product Awards.
URL: https://www.piworld.com/article/agfa-earns-four-pinnacle-product-awards-for-inkjet-printing-solutions/

Date: 23/08/2023
Type: Files Suit Against
Event: Agfa files suit against Gucci Group.
URL: https://www.juve-patent.com/cases/agfa-files-upc-case-against-gucci-over-leather-product-printing/

Date: 20/07/2023
Type: Partners With
Event: Agfa partners with Lunit Inc..
URL: https://www.auntminnie.com/index.aspx?sec=log&URL=https%3a%2f%2fwww.auntminnie.com%2findex.aspx%3fsec%3dsup%26sub%3dxra%26pag%3ddis%26ItemID%3d140706%26wf%3d1

Date: 03/06/2023
Type: Partners With
Event: Siegwerk Group partnered with Agfa on Jan 1st '18.
URL: https://www.floridamarketingnews.com/article/637670964-global-water-based-inks-market-is-estimated-to-surge-to-a-revenue-of-us-12-415-million-by-2033-at-steady-cagr-of-3-1-analysis-by-future-market",Excellent,5
ucb.com,6093881,8703,Manufacturing,1,"Type: *** Discover Insider ***
Event: Chief Data Officer And Head Statistical Sciences And Innovation of Ucb told us they were looking into 'Concurrency challenges.


Date: 21/11/2023
Type: Partners With
Event: Kroger Specialty Pharmacy, Inc. partners with UCB.
URL: https://krogerspecialtypharmacy.com/news-post/ksp-is-now-dispensing-bimzelx

Date: 13/11/2023
Type: Launches
Event: UCB launches BIMZELX.
URL: https://www.prnewswire.com/news-releases/ucb-announces-us-availability-of-bimzelx-for-the-treatment-of-adults-with-moderate-to-severe-plaque-psoriasis-301986731.html

Date: 24/07/2023
Type: Partners With
Event: UCB partners with RSC Carbohydrate Group.
URL: https://www.ucb.com/Our-company/magazine/detail/article/UCB-partnership-with-the-Royal-Society-of-Chemistry-showcased-at-Annual-Conference

Date: 19/07/2023
Type: Launches
Event: UCB launches EMA bimekizumab verdict.
URL: https://www.pharmatimes.com/news/ucb_announces_ema_bimekizumab_verdict_1495037

Date: 17/07/2023
Type: Launches
Event: UCB launched EU regulatory filing for Bimekizumab for the treatment of Moderate to Severe Hidradenitis Suppurativa on Jul 18th '23.
URL: https://pipelinereview.com/index.php/2023071883833/Antibodies/UCB-Announces-EU-Regulatory-Filing-for-Bimekizumab-for-the-Treatment-of-Moderate-to-Severe-Hidradenitis-Suppurativa.html",Excellent,5
astellas.com,10911776,14522,Manufacturing,1,"Type: *** Discover Insider ***
Event: Medical Affairs And Communications Director of Astellas told us they were looking into ' Device Chaos within the next ['7 to 9 Months'].


Date: 01/12/2023
Type: Partners With
Event: Phenomicai partners with Astellas Pharma.
URL: https://pharmaceutical-business-review.com/news/phenomic-astellas-solid-tumour-cell-therapies

Date: 29/11/2023
Type: Partners With
Event: Phenomic partners with Astellas Pharma.
URL: https://www.valdostadailytimes.com/ap/business/phenomic-enters-into-strategic-research-collaboration-with-astellas-for-solid-tumor-cell-therapies/article_fd85614a-0c17-59ce-93e1-bb699e4f06a6.html

Date: 15/11/2023
Type: Acquires
Event: Astellas Pharma acquired Propella for $175M on Nov 16th '23.
URL: https://www.astellas.com/en/news/28656

Date: 24/10/2023
Type: Invests Into Assets
Event: Astellas Pharma invests into assets: facility in the amount of $349M in Tralee, Ireland.
URL: http://traleetoday.ie/japanese-ambassador-visits-mtu-campus/

Date: 09/10/2023
Type: Launches
Event: Astellas Pharma launches national TV commercial for Veozah.
URL: https://www.mmm-online.com/home/channel/campaigns/astellas-veozah-campaign-menopause/",Good,5
iqvia.com,14681000,87000,Business Services,1,"Type: *** Discover Insider ***
Event: Director of Iqvia told us they were looking into ' Backup/recovery performance unacceptable .


Date: 05/12/2023
Type: Partners With
Event: Kubota Vision Inc. partners with IQVIA Holdings Inc..
URL: https://finance.yahoo.com/news/kubota-vision-announces-vendor-agreement-163000591.html

Date: 03/12/2023
Type: Recognized As
Event: IQVIA Holdings Inc. recognized as top of the Diagnostics & Research industry.
URL: https://www.investorsobserver.com/news/stock-update/is-iqvia-holdings-inc-iqv-a-good-buy-in-the-diagnostics-research-industry-3

Date: 26/11/2023
Type: Launches
Event: IQVIA Holdings Inc. launched Drug Shortages on Jan 1st '23.
URL: https://drugstorenews.com/iqvia-report-analyzes-drug-shortages-us

Date: 24/11/2023
Type: Invests Into
Event: L2asset invests into IQVIA Holdings Inc. $2.61M.
URL: https://www.etfdailynews.com/2023/11/25/l2-asset-management-llc-invests-2-61-million-in-iqvia-holdings-inc-nyseiqv/

Date: 19/11/2023
Type: Partners With
Event: IQVIA Holdings Inc. partnered with Clalitresearch on Nov 1st '22.
URL: https://finance.yahoo.com/news/life-science-analytics-market-size-113300513.html",Excellent,5
boehringer-ingelheim.com,5286807,53155,Manufacturing,1,"Type: *** Discover Insider ***
Event: Director of Boehringer Ingelheim told us they were looking into ' Data protection against Cyberthreats.


Date: 05/12/2023
Type: Partners With
Event: Ten63tx partnered with Boehringer Ingelheim GmbH on Jan 1st '22.
URL: https://www.prnewswire.com/news-releases/ten63-therapeutics-announces-multi-target-drug-discovery-collaboration-with-boehringer-ingelheim-302007073.html

Date: 29/11/2023
Type: Partners With
Event: Phenomicai partnered with Boehringer Ingelheim GmbH on Oct 30th '23.
URL: https://www.pharmafocuseurope.com/news/phenomic-and-boehringer-ingelheim-establish-strategic-collaboration-for-the-discovery-of-novel-targets-in-stroma-enriched-cancer-therapies

Date: 29/11/2023
Type: Partners With
Event: University of Toronto partners with Boehringer Ingelheim GmbH.
URL: https://utest.to/2023/11/29/phenomic-ai-enters-strategic-collaboration-with-boehringer-ingelheim/

Date: 29/11/2023
Type: Partners With
Event: Phenomic partnered with Boehringer Ingelheim GmbH on Dec 6th '23.
URL: https://www.thepharmaletter.com/article/boehringer-links-up-with-phenomic-ai-on-stoma-rich-cancer-drugs

Date: 29/11/2023
Type: Partners With
Event: Clariness partners with Boehringer Ingelheim GmbH.
URL: https://clariness.com/clariness-to-advance-digital-recruitment-in-new-multi-year-partnership-with-boehringer-ingelheim-in-germany/",Booster activated,5
uzleuven.be,132923,9760,Hospitals & Physicians Clinics,1,"Type: *** Discover Insider ***
Event: CIO of Uzleuven told us they were looking into 'Data management and protection within the next 6 - 9 months.


Date: 25/04/2023
Type: Partners With
Event: Hutix BV partners with Uzleuven.
URL: https://hutix.be/hutix-partners-uz-leuven-source-it-talent

Date: 03/04/2023
Type: Launches
Event: Uzleuven launched Master@Heart study on Jan 1st '18.
URL: https://www.uzleuven.be/en/news/intensive-endurance-sports-cause-more-arteriosclerosis-moderate-exercise",Good,2
azvesalius.be,116544,666,Hospitals & Physicians Clinics,1,,Good,0
gza.be,47970,387,Healthcare Services,1,,Good,0
idewe.be,,707,,1,"Type: *** Discover Insider ***
Event: Chief Information Officer of Idewe, is interested in What's NEW in   Backup for Microsoft 365 v6 in Belgium.
",Good,0
olvz-aalst.be,0,0,,1,,Good,0
