Domains,Industry,Class,Employees,Discover - Events,Discover - Overall Score,Discover - Event Count
allenovery.com,Law Firms & Legal Services,1,5454,"Type: *** Discover Insider ***Event: Head Of HR of Allenovery told us they were looking into 'Digitalise HR and reduce the amount of paper.Date: 31/10/2023Type: LeavesEvent: Garcia Nelen leaves Allen & Overy LLP.URL: https://www.kinneyrecruiting.com/amsterdam/legal-news/greenberg-traurig-expands-corporate-ma-team-with-samuel-garcia-nelen/Date: 29/10/2023Type: Partners WithEvent: Allen & Overy LLP partners with Inflexion Private Equity Partners LLP.URL: https://www.jdjournal.com/2023/10/30/allen-overy-to-spin-off-aosphere-in-deal-with-inflexion-and-endicott-capital/Date: 29/10/2023Type: Partners WithEvent: Allen & Overy LLP partners with Endicott Group.URL: https://www.jdjournal.com/2023/10/30/allen-overy-to-spin-off-aosphere-in-deal-with-inflexion-and-endicott-capital/Date: 23/10/2023Type: Invests IntoEvent: Allen & Overy LLP invested into Ulster University $15K on Jan 1st '23.URL: https://www.ulster.ac.uk/news/2023/october/ulster-university-receives-12,000-grant-for-access-to-justice-scholarshipsDate: 16/10/2023Type: LeavesEvent: Andy McGregor leaves Allen & Overy LLP as Senior fraud partner.URL: https://www.enyolaw.com/posts/244/andy-mcgregor-joins-enyo-law-from-allen-overy",Excellent,5
astonmartin.com,Manufacturing,1,2310,"Type: *** Discover Insider ***Event: Director of Astonmartin told us they were looking into ' Data protection against Cyberthreats.Date: 03/11/2023Type: LaunchesEvent: Aston Martin launches Stroll and Alonso.URL: https://www.gpblog.com/en/amp/210113/verstappen-tops-fp1-as-old-ferrari-spec-beats-upgraded-version.htmlDate: 31/10/2023Type: LaunchesEvent: Aston Martin launches j.laverack.1r road bicycle.URL: https://www.sgcarmart.com/articles/news/aston-martin-reveals-new-jlaverack-1r-road-bicycle-34020Date: 31/10/2023Type: LaunchesEvent: Aston Martin launches road bicycle, created in collaboration with titanium bicycle manufacturer J.Laverack.URL: https://www.sgcarmart.com/articles/news/aston-martin-reveals-new-jlaverack-1r-road-bicycle-34020Date: 31/10/2023Type: LaunchesEvent: Aston Martin launches model called.1R.URL: https://www.autoblog.com/2023/11/01/aston-martin-1r-bike/Date: 31/10/2023Type: LaunchesEvent: Aston Martin launches titanium hypercar.URL: https://stupiddope.com/2023/10/aston-martin-j-laverack-launch-the-titanium-hypercar-of-bikes-the-1r/",Good,5
nfumutual.co.uk,Insurance,1,4043,Type: *** Discover Insider ***Event: Head Of Cloud Infrastructure Services of Nfumutual told us they were looking into 'Data protection against Cyberthreats within the next 3 - 6 months.Date: 07/09/2023Type: Partners WithEvent: Northumberland Pub Co partnered with NFU Mutual on Jun 15th '23.URL: https://www.chroniclelive.co.uk/news/north-east-news/dna-marking-system-protect-agricultural-27080584Date: 09/06/2023Type: LaunchesEvent: NFU Mutual launched insurance product on May 10th '23.URL: https://www.fwi.co.uk/news/this-week-in-farming-better-wheat-milk-woe-and-sheep-burpsDate: 09/06/2023Type: Partners WithEvent: NFU Mutual partnered with Markel Corp. on May 9th '23.URL: https://www.farmersguide.co.uk/heat-stress-advice-for-dairy-farmers-as-weekend-heatwave-forecast/Date: 09/06/2023Type: Partners WithEvent: NFU Mutual partnered with Gallagher Group Limited on May 9th '23.URL: https://www.farmersguide.co.uk/heat-stress-advice-for-dairy-farmers-as-weekend-heatwave-forecast/Date: 05/06/2023Type: LaunchesEvent: NFU Mutual launches ‘GPS security guide’.URL: https://www.agriland.co.uk/farming-news/cost-of-gps-theft-doubled-in-first-4-months-of-the-year-nfu-mutual/,Good,5
nts.org.uk,Organizations,1,38,Type: *** Discover Insider ***Event: Manager Information Technology Service Delivery of Nts told us they were looking into 'Operational improvements within the next 9 - 12 months.Date: 26/10/2023Type: LaunchesEvent: National Trust for Scotland launches two new hands-on experiences.URL: https://www.grampianonline.co.uk/news/new-experiences-take-youngsters-to-the-heart-of-haddo-house-331098/Date: 07/08/2023Type: Partners WithEvent: University of Stirling partners with National Trust for Scotland.URL: http://winningstudents-scotland.ac.uk/news/2023/august-2023-news/university-of-stirling-teams-up-with-national-trust-for-scotland-to-boost-heritage-research/Date: 30/01/2023Type: LaunchesEvent: National Trust for Scotland launched “Pink Again” campaign on Jan 30th '23.URL: https://www.pressandjournal.co.uk/fp/news/aberdeen-aberdeenshire/5334226/craigievar-castle-pink-aberdeenshire-repairs/Date: 16/01/2023Type: Partners WithEvent: National Trust for Scotland partners with YourTour - Travel Technology Services.URL: https://www.pressandjournal.co.uk/fp/news/highlands-islands/5284564/virtual-tours-for-culloden-battlefield-to-be-launched-to-a-worldwide-audience/Date: 18/12/2022Type: Partners WithEvent: Gallowayglens partners with National Trust for Scotland.URL: https://www.dgwgo.com/out-and-about-in-dg/discover-fascinating-world-geese-free-event/,Excellent,5
sepa.org.uk,Government,1,1279,Date: 28/09/2023Type: has_issues_withEvent: Scottish Enterprise had issues with had gone offline after the cyber attack on Dec 1st '20.URL: https://theferret.scot/environmental-regulator-accused-law-breaking/Date: 22/06/2023Type: Partners WithEvent: Transport & Environment partnered with Scottish Enterprise on Jun 22nd '23.URL: https://www.scottishconstructionnow.com/articles/funding-secured-for-denburn-restoration-projectDate: 22/06/2023Type: Partners WithEvent: Aberdeen City Council partnered with Scottish Enterprise on Jun 22nd '23.URL: https://www.scottishconstructionnow.com/articles/funding-secured-for-denburn-restoration-projectDate: 12/01/2023Type: Has Issues WithEvent: Scottish Enterprise had issues with massive attack on Dec 1st '20.URL: https://futurescot.com/addressing-the-cyber-security-skills-gap-in-scotland/Date: 21/12/2022Type: Is DevelopingEvent: Scottish Enterprise is developing flood mitigation project for the Brankcolm Burn.URL: https://www.dunfermlinepress.com/news/23205749.rosyth-increased-urgency-needed-stem-flooding-issues/,Excellent,5
arqiva.com,Telecommunications,1,1377,"Date: 31/08/2023Type: signs_new_clientEvent: Dac System Sa signs new client Arqiva Group.URL: https://www.redtech.pro/arqiva-selects-dac-system-monitoring-solution/Date: 29/06/2023Type: HiresEvent: Arqiva Group hired Nicola Phillips as Chief Legal Officer on Mar 1st '23.URL: https://radiotoday.co.uk/2023/06/arqiva-appoints-nicola-phillips-as-chief-legal-officer/Date: 24/05/2023Type: HiresEvent: Arqiva Group hired Dom Wedgwood as Chief Technology Officer on Jun 1st '23.URL: https://www.svgeurope.org/blog/headlines/arqiva-appoints-dom-wedgwood-as-chief-technology-officer/Date: 05/05/2023Type: Files Suit AgainstEvent: BBC files suit against Arqiva Group.URL: https://www.broadbandtvnews.com/2023/05/16/bbc-sues-arqiva-after-bilsdale-transmitter-loss/Date: 19/12/2022Type: HiresEvent: Arqiva Group hired Gaurav Jandwani as Executive Director, Media & Broadcast on Jan 3rd '22.URL: https://www.bizasialive.com/ex-star-tv-uk-head-gaurav-jandwani-joins-arqiva-as-executive-director/",Excellent,5
inmarsat.com,Telecommunications,1,1800,"Type: *** Discover Insider ***Event: Director Of Cyber Security For Aviation of Inmarsat, is interested in Economic Impact:  Cloud Data Management - whitepaper_en in United States.Date: 01/11/2023Type: Merges WithEvent: OneWeb merged with Inmarsat PLC on Jan 1st '23.URL: https://spacenews.com/spacenews-icon-awards-honorees-deal-of-the-year/Date: 01/11/2023Type: Signs New ClientEvent: Inmarsat PLC signs new client Maersk Supply Service.URL: https://news.satnews.com/2023/11/02/maersk-supply-service-selects-inmarsats-fleet-data-iot-platform-to-enhance-performance-of-battery-optimized-vessel/Date: 25/10/2023Type: Is DevelopingEvent: Inmarsat PLC is developing GMDSS terminal.URL: https://www.rivieramm.com/news-content-hub/intellian-and-inmarsat-to-develop-gmdss-terminal-78263Date: 23/10/2023Type: Is DevelopingEvent: Inmarsat PLC is developing Maritime Safety terminal generation.URL: https://maritime-executive.com/corporate/intellian-and-inmarsat-to-develop-next-generation-maritime-safety-terminalDate: 19/10/2023Type: Is DevelopingEvent: Inmarsat PLC is developing technologies needed to enable more mass market devices on Apr 12th '23.URL: https://spacenews.com/skylo-prepares-to-scale-network/",Excellent,5
chelseafc.com,Hospitality,1,2123,"Date: 03/11/2023Type: leavesEvent: Hayes will leave Chelsea Football Club as manager on Nov 11th '23.URL: https://sports.yahoo.com/uswnt-emma-hayes-coach-153936417.htmlDate: 29/10/2023Type: LaunchesEvent: Chelsea Football Club launches quarterly membership excursions with a BSL interpreter.URL: https://london24news.co.uk/2023/10/29/football-is-voted-as-essentially-the-most-favoured-sport-by-deaf-sports-activities-followers/Date: 26/10/2023Type: Recognized AsEvent: Chelsea Football Club recognized as Best 30 Places to Work in Hospitality.URL: https://jobsinfootball.com/job/55907/hotel-night-receptionist/Date: 17/10/2023Type: Invests Into AssetsEvent: Chelsea Football Club invests into assets: Stoll site in the amount of $97M.URL: https://www.standard.co.uk/sport/football/chelsea-fc-stamforde-bridge-expansion-stoll-b1114020.htmlDate: 17/10/2023Type: Invests Into AssetsEvent: Chelsea Football Club invests into assets: 1.2-acre Stoll Mansions site in the amount of $97M in Stamford, Connecticut, United States.URL: https://www.standard.co.uk/sport/football/chelsea-fc-stamforde-bridge-expansion-stoll-b1114020.html",Excellent,5
pinsentmasons.com,Law Firms & Legal Services,1,2500,"Type: *** Discover Insider ***Event: Head Of Operational Security of Pinsentmasons told us they were looking into 'Backup/recovery performance within the next 3 - 6 months.Date: 31/10/2023Type: HiresEvent: Pinsent Masons LLP hires Conor Durkin.URL: https://www.irishlegal.com/articles/pinsent-masons-hires-irish-funds-partner-conor-durkinDate: 06/10/2023Type: LaunchesEvent: Pinsent Masons LLP launches Demand Side Response energy reduction for London HQ.URL: https://oaktreepower.com/pinsent-masons-oaktree-power-dsr/Date: 03/10/2023Type: HiresEvent: Pinsent Masons LLP hires Jeroen Schouten as Technology, Media, Telecoms.URL: https://www.pinsentmasons.com/about-us/announcements/pinsent-masons-appoints-technology-partner-in-amsterdamDate: 03/10/2023Type: Recognized AsEvent: Pinsent Masons LLP recognized as Law Firm of the Year in 2016 on Jan 1st '21.URL: https://securitymattersmagazine.com/legal-sector-expertise-wins-pinsent-masons-contract-for-corps-securityDate: 03/10/2023Type: HiresEvent: Pinsent Masons LLP hired Emily Cox on Oct 1st '23.URL: https://www.pinsentmasons.com/about-us/announcements/pinsent-masons-hires-technology-disputes-partner-emily-cox-in-london",Good,5
utilita.co.uk,Business Services,1,398,"Type: *** Discover Insider ***Event: Manager of Utilita told us they were looking into ' Organizational change.Date: 01/10/2023Type: LaunchesEvent: Utilita Energy Limited launches Smart Landlords, Smart Tenants' campaign.URL: https://www.independent.co.uk/news/uk/home-news/smart-meter-rights-energy-bill-b2421065.htmlDate: 12/07/2023Type: Partners WithEvent: Utilita Energy Limited partnered with Nextdoor Inc. on Jul 13th '23.URL: https://www.energylivenews.com/2023/07/13/uk-neighbours-share-washing-lines-cut-energy-bills/Date: 14/02/2023Type: Partners WithEvent: National Energy Authority partnered with Utilita Energy Limited on Feb 14th '22.URL: https://www.grocerygazette.co.uk/2023/02/14/iceland-frozen-food-energy/Date: 10/11/2022Type: HiresEvent: Utilita Energy Limited hired Ian Burgess as Chief Technology Officer on Jan 1st '19.URL: https://procode.technology/blog/2022/11/a-technology-leader-driving-change",Excellent,4
